artTitle,artDate,artTime,artUrl,artCat,sentence
網傳散瞳劑致失明 醫斥：不實謠言,2019/01/11,16:00:00,http://tw.news.appledaily.com/headline/daily/20190112/38230544/,headline,"【生活中心╱台北報導】網傳眼睛點散瞳劑容易導致青光眼或失明，醫師說，這是不實謠言，只要做好眼睛防曬保護，散瞳劑在使用上是安全的。, 眼科醫師葉威毅指出，許多國家早已使用散瞳劑來控制近視度數多年。散瞳劑會麻痺睫狀肌，因為瞳孔被放大，會產生低畏光副作用，不過大部分孩童都能適應長效型散瞳藥水，只要做好眼睛防曬保護，基本上長期使用是安全的。_葉威毅指，如果點散瞳劑適應不錯，可以搭配戴眼鏡，治療效果會比只點散瞳劑好。_葉威毅也說，若無法適應點散瞳劑後低畏光，可改用角膜塑型片來治療近視，其效果等於高濃度散瞳劑，但沒有低畏光、看近的東西不清楚等副作用，缺點是得自費。有些人受基因遺傳影響，先天容易近視，除了戴角膜塑型片，合併使用超低濃度散瞳劑，效果會更好。_, 搶當《好蘋友》壹會員快註冊免收費！不註冊會後悔！快點我註冊→https://tw.adai.ly/Ml924UpCSU"
日旅遊星探酒駕 醉睡警局,2019/01/12,16:00:00,http://tw.news.appledaily.com/headline/daily/20190113/38230903/,headline,"【江宏倫、江孟謙╱台北報導】日籍男子向井純因常推薦日本秘境給台灣民眾，有「旅遊星探」之稱，前晚和友人餐敘後，酒駕又未依交通號誌燈搶快左轉，撞到另一輛汽車，造成3人受傷，酒測值高達0.85毫克，在派出所宿醉一夜才清醒。, 日籍男子向井純（50歲）從小就隨雙親來台念書，在台開設旅行顧問公司，因常發掘日本特色景點，定期分享日本立山黑部最新消息，被業界譽為「旅遊業星探」、「日本旅遊推手」。_警方說，前晚10時向井純駕休旅車行經北市中山北路6段左轉福國路時，撞上江姓男子（48歲）的休旅車，江男頸部挫傷，江妻和女兒胸部挫傷，向井純的酒測值為0.85毫克。_向井純被帶回派出所時，因酒醉嘔吐，昨天上午才清醒，他坦承聚會時喝了3杯威士忌，訊後依公共危險罪嫌送辦，檢方訊後請回。_, 搶當《好蘋友》壹會員快註冊免收費！不註冊會後悔！快點我註冊→https://tw.adai.ly/Ml924UpCSU"
紀惠容專欄：離婚強制會面是孩子最佳利益嗎（紀惠容）,2019/01/12,16:00:00,http://tw.news.appledaily.com/headline/daily/20190113/38231076/,headline,"法院這幾年風行所謂的友善或合作式父母，對於訴請離婚的案件，均被強制進入調解或要求審前會面交往，許多目睹暴力的孩子因此很受傷，在家暴服務、實務界的我們必須說，不是所有的離婚官司都適合合作式父母。, 法院強制孩子進入交互會面，只要孩子不願意，其主要照顧方就得背負原罪，法院視其為「離間」或「控制」所造成，孩子完全沒有說不的權力或權利。試想，一位目睹家暴創傷壓力的孩子，在家裡很少見到或感受到施暴者的愛，甚至是恐懼的，好不容易與受暴一方離家或住到中途之家，卻在父母訴請離婚訴訟過程中，被要求與施暴者見面，但在身心未準備好的狀態下，被強迫與施暴一方家長會面，是好的嗎？我們在實務中常見到的是，會面結束後，孩子產生身心創傷，包括拔頭髮、嘔吐、肚子痛、做噩夢、大吼大叫。_親子關係是日常生活中累積或經營出來的，孩子與一方關係不好，不接受會面，是誰的問題？是誰該負的責任？法院卻將照顧方扣上「離間」或「控制」的帽子，並指涉孩子罹患「父母離間症候群（parental alienation syndrome, PAS）」，其治療方式，居然是讓子女持續和家長接觸，這是非常離譜、不公平也是不對的做法。_所謂的「父母離間症候群」是由一位哥倫比亞醫學院無薪兼職臨床教授╱兒童精神科醫師Gardner，透過擔任離婚案件男方的專家證人，觀察被指控性侵子女的父親，臨床觀察，在1985年所得的結論，並在自己出版多篇文章與書籍定義所謂的「父母離間症候群」，是一種病態醫學症狀的診斷，然而這些出版卻沒有實證證據的支持。它的治療方式是讓子女持續和家長接觸，即使該家長被指控對子女性侵。Gardner甚至認為戀童癖是人性的一部分。_台大教授沈瓊桃指出，目前，英國、加拿大法院已經禁止使用「父母離間症候群」，美國全美少年及家事法院法官委員會也駁斥此名詞，並建議不要以「父母離間症候群」作為侵權裁判的考量。除了Gardner 之PAS理論不符合美國聯邦證據法則，欠缺證據能力，美國的專業社群亦不認可，未將PAS納入DSM-5（精神疾病診斷準則手冊）之外，悲劇也陸續發生，賓州法院判決一位青少年接受PAS治療，該位青少年上吊自殺，許多受暴婦女被指控讓子女得到PAS因而失去監護權。Gardner本人2003年遭美國法院舉行公聽會檢視PAS，並未出席，之後因無法提出PAS的科學證據，畏罪自殺。_, 很不幸的是，台灣法院卻在Gardner死了15年之後引進，還大力推廣，無視於國際間的看法，更無視於孩子的權力與權益，一味要求孩子與施暴者會面交往，情何以堪？台灣法院真是落後啊！資訊落差居然如此的大。台灣法院若真的有落實孩子最佳利益考量，請了解不是所有離婚案件，都適合進入友善或合作式父母的模式，也不是所有的孩子都應被強迫進入會面交往。我們必須嚴肅的說，家暴離婚案件有安全考量，子女和某方家長有高衝突關係的，都不適合進入合作式父母或共親職模式的，也不應要求其孩子進入會面交往。_, 勵馨基金會執行長_, 搶當《好蘋友》壹會員快註冊免收費！不註冊會後悔！快點我註冊→https://tw.adai.ly/Ml924UpCSU"
救感冒靠偏方? 恐來不及！,2019/01/13,16:00:00,http://tw.news.appledaily.com/headline/daily/20190114/38228688/,headline,"【廣編特輯】氣溫驟降，感冒病號明顯變多，且常見一人感冒全家中獎的情形。醫師表示，若能多注意飲食及生活作息，或者在感冒初期壓制症狀，使用能夠協助殺菌的產品，不僅讓症狀緩解，也能降低病毒感染範圍擴大的機會。 , 耳鼻喉科賴盈達醫師表示，入冬以來因感冒就診人數明顯增加，一人感冒全家中獎的案例也不少，有的是第一天先生來門診，之後太太、小朋友陸續就醫，也有情況是一人感冒早上就診，下午全家都來報到。_  感冒剛開始以喉嚨痛、咳嗽、鼻塞、流鼻水為主，很多人在初期輕微時會採取一些偏方，希望將症狀壓制住。較常見就是以鹽水漱口，傳統觀念認為能幫助殺菌，也有人會試著噴點蜂膠，或去日本旅遊買些成藥備用。_  當出現感冒症狀時，其實就如同冰山之一角，實際的感染情況可能已經更嚴重。偏方很多，例如多補充水分、蔬果、維他命C，作為平日預防，幫助增強免疫力，是還不錯的選擇，但對於立即治療感冒的效果，則待商榷。其他如鹽水、蜂膠的效用就見仁見智，或許有安慰效果，只要無害，嘗試看看無妨。, 賴盈達醫師表示，在他的嗓音特別門診，日前一位歌手得了感冒，而她本身不愛吃藥，就泡了檸檬水，因擔心加太多糖喉嚨易生痰，所以放了特別多的檸檬，沒想到原本只是疼痛，喝完整個喉嚨「縮起來」！加上她患有胃食道逆流，使喉嚨更不舒服，上台教唱，高音卻完全上不去。檢查才發現扁桃腺嚴重發炎，內視鏡檢查發現喉部及聲帶也因胃酸逆流受傷。_  賴醫師解釋，有些人誤以為檸檬的酸有助殺菌，事實上當喉嚨發炎紅腫時，酸容易造成傷害。酸會刺激發炎的扁桃腺，使疼痛更厲害。若本身有胃食道逆流，過多的酸甚至會讓胃食道逆流更嚴重。_, 感冒喉嚨痛是細菌病毒引起發炎造成的，嚴重時包括淋巴、扁桃腺、聲帶、氣管都會受影響，此時可使用稀釋的碘達到殺菌效果。根據研究，碘具有殺菌作用。通常處理皮膚外傷會用碘酒以防感染範圍擴大，而耳鼻喉科醫師在幫病人治療喉嚨發炎使用的藥水也是含有碘。_  感冒初期覺得喉嚨有點癢或疼痛，使用含碘的口腔噴液及漱口水，可達到壓制效果，讓症狀緩解，減少合併重症的機會。_  除了避免喝檸檬水之外，感冒初期若要試用偏方，建議一兩天如果未改善，或出現更多症狀，應停用並趕緊就醫。此外，症狀只是輕微時要多休息、睡眠充足勿熬夜，飲食方面應避免油炸、辛辣食物，有抽菸、喝酒習慣，這時候應停止，才能降低惡化的風險。, 搶當《好蘋友》壹會員快註冊免收費！不註冊會後悔！快點我註冊→https://tw.adai.ly/Ml924UpCSU"
續發性肺動脈高血壓 是硬皮症猝死主因！,2019/01/13,16:00:00,http://tw.news.appledaily.com/headline/daily/20190114/38228699/,headline,"【特別企劃】一名42歲女性，早在六年前生完第二胎後，就被確診為罹患局限型硬皮症。難纏的硬皮症本身就已經夠讓人頭大，沒想到，她還逐漸出現喘不過氣的症狀，年紀未過半百，卻連爬層樓梯都成問題。這名患者就醫後，光從肺部X光就可見肺門腫大，經右心導管檢查後，確認是併發了有猝死風險的肺動脈高血壓，情況緊急……, 硬皮症在西方白種人社會較常見，國內雖罹病人數少，近幾年卻有指數型增加的趨勢。臺中榮民總醫院過敏免疫風濕科謝祖怡主治醫師指出，硬皮症的難纏在於其為全身性疾病，皮膚、心血管、肺部循環系統等器官都可能受到攻擊，｢患者不只生活品質相當惡劣，還有很多併發症，其中最嚴重的就是續發性肺動脈高血壓，是造成局限型硬皮症病患死亡最主要的原因。」_謝祖怡醫師進一步說明，硬皮症病患會隨著本病病情惡化，而加重續發性肺動脈高血壓的症狀，｢死亡率也會因此大幅提高，臨床統計2年約死亡6成以上，尤其寒流來襲時，猝死人數更是暴增，建議患者應定期回診追蹤。」_ 高雄榮民總醫院重症醫學部部主任黃偉春醫師也憶起，十多年前曾有一名40多歲的女性硬皮症病患，就診時喘個不停，經右心導管檢查確診，是併發了續發性肺動脈高血壓，但因當時沒有很好的治療藥物，就在看診半年後的一個小年夜晚上，無預警的在家中廁所過世，令人唏噓。_, 謝祖怡醫師說：「值得慶幸的是，如今治療肺動脈高血壓的專屬藥物出現，等於是幫併發這個嚴重疾病的硬皮症病患找到了存活之路，且經治療後，預後相當良好。」而且目前，健保署已同意給付兩種治療續發性肺動脈高血壓的藥物，臨床可依病情需求，採取單一或合併治療的選擇。而且這種新給付藥物對硬皮症本身也有幫助。_ 儘管治療出現曙光，黃偉春醫師還是提醒，續發性肺動脈高血壓是硬皮症中，最危險的併發症之一，症狀包括｢喘、咳、血、腫、暈」，如果有喘氣、咳嗽、咳血、腳腫、頭暈或暈厥症狀，病患務必提高警覺，若自覺日常生活的行為能力下降，如原本可以走路去買菜，現在卻走沒幾步就喘個不停，就要懷疑是否產生肺動脈高血壓，一旦出現咳血或暈厥現象，就意味著病情已經相當嚴重了。因此呼籲患者，當有上述情形出現，一定要儘早就醫檢查及確診，並與醫師討論治療策略，提早診斷，提早治療，可延緩疾病惡化。_, 搶當《好蘋友》壹會員快註冊免收費！不註冊會後悔！快點我註冊→https://tw.adai.ly/Ml924UpCSU"
「跨年砲」性侵女兒 獸父重判20年,2019/01/13,16:00:00,http://tw.news.appledaily.com/headline/daily/20190114/38231750/,headline,"【黃哲民╱台北報導】新北16歲少女4年前讀國中時，多次遭相依為命的生父性侵，還被迫在跨年夜為父口交再做「跨年砲」，她怕說出去會遭父親滅口，又想逃避對亂倫的厭惡，常蹺課到山崖吹風，被當成問題學生，直到害怕懷孕哭著求救，師長才知她的悲慘遭遇。狼父雖辯稱女兒不服管教挾怨報復，高院仍依29個加重強制性交罪合併判刑20年，可上訴。受害少女在師長眼裡，原是愛上學的乖巧女孩，因突然開始遲交作業、蹺課、頂撞師長，對師長關心，也動輒回以「老師不要管我！」等語。導師原以為少女學壞，經觀察發現，少女蹺課獨自到山崖吹風、發呆，認為事有蹊蹺，遂找少女輔導，少女才情緒爆發：「我被爸爸強姦！月經也幾個月沒來了。」, 所幸，少女就醫確認未懷孕，經社工安置，少女才娓娓道出她半夜遭父親脫光衣褲、壓靠牆壁奪去童貞，父親事後威脅她：「如果敢把這件事告訴別人，我就先殺了妳，再自殺！」她曾目睹父親把媽媽打得滿臉是血，怕父親真的會殺她，加上當時媽媽在坐牢，她一人默默承受。少女每月平均遭父親性侵3次，2016年元旦跨年夜，父親突然興致勃勃告訴她：「有一種東西叫做『跨年砲』！」其實就是把她壓在床上性侵。師長們聽了全驚呆，更讓老師難過的是，少女講述時「從頭到尾都笑笑地講，但眼淚一直流下來」。少女父親否認所有指控，稱女兒不服嚴厲管教，所以挾怨誣賴他，但法官不予採信駁回上訴。_, 搶當《好蘋友》壹會員快註冊免收費！不註冊會後悔！快點我註冊→https://tw.adai.ly/Ml924UpCSU"
國道4車追撞 駕駛拋車外遭輾斃,2019/01/13,16:00:00,http://tw.news.appledaily.com/headline/daily/20190114/38231756/,headline,"【徐彩媚、王志弘╱連線報導】國道中山高速公路南下272K嘉義水上路段，昨天凌晨發生2輛小貨車、2輛轎車4車連環撞事故，1名小貨車駕駛拋出車外慘遭輾過，當場死亡，現場另有4人受傷，詳細事故原因由國道警察調查中。國道四隊新營分隊調查，肇事駕駛為18歲朱姓女子，昨凌晨2時30分開車載男性友人行經中山高南向272公里處時，因恍神在中線車道發生追撞，造成前方小貨車失控擦撞內側護欄，側翻在中線上，再連遭2車撞擊，釀成4車連環車禍。當時小貨車55歲黃姓駕駛拋出車外，慘遭輾過，頭部變形明顯死亡，另3車有4人受傷，送醫後均無礙。警方檢測4車駕駛均無酒駕。嘉義縣消防局獲報後出動救護，除黃男因明顯死亡未送醫，餘傷者經送嘉義長庚醫院救治皆無生命危險。,  , 搶當《好蘋友》壹會員快註冊免收費！不註冊會後悔！快點我註冊→https://tw.adai.ly/Ml924UpCSU"
【誰來晚餐】借1000萬 醫台灣,2019/01/13,16:00:00,http://tw.news.appledaily.com/headline/daily/20190114/38231837/,headline,"作者、攝影╱陳敏郎西華飯店有間大隱於地下室的廚神級日本料理餐廳「小馬」，之初創投創始合夥人林之晨形容這是他的「愛店」。他訂了位，在LINE上問：「板前，Okay？」有點看不懂，「什麼意思？」他回：「Bar台，主廚親自服務。」原來如此，長知識了。提早到達餐廳，坐在板前，看著主廚專注的處理食材，日本料理職人的專業，專注的眼神融入十指，令人讚賞。 , 傍晚6時30分，林之晨準時扺達，潮牌SuperDry短夾克、簡單乾淨的髮型，眼前這位「創投金童」，41歲。20年前，念大三時他已和同學共同創辦B2C電腦零售網站「哈酷網」，網路泡沫化後，哈酷轉型為碩網資訊。11年前，移民紐約的他看到iPhone與Android等新平台崛起，帶動新一波創業機會，決定回台創辦AppWorks之初創投，輔導新創事業，如今之初已成為東南亞最大的創業加速器，募資總額超過240億元。_林之晨和「小馬」主廚小二很熟，無菜單料理，第一道和第二道料理是冷盤。第一道料理，小二採用苗栗柿子和高雄紅心芭樂製作而成，上頭是有素魚子醬之稱的中藥材地膚子，精巧又有創意；第二道是蓮根餅，以蓮藕為主食材搭配蝦汁。_晚餐話題從他擔任台灣大哥大獨董開始。去年6月12日，台灣大股東會通過由林之晨接替管中閔擔任獨董，40歲的獨董，創下台灣最年輕獨董新紀錄。林之晨說，其實這不是他第一次擔任獨董，之前已出任近10家新創公司董事，對獨董工作並不陌生，但確實是第一次擔任市值超過千億元上市公司獨董。_「接台灣大獨董，有沒有壓力？」他的回答是：「我沒有要選台大校長，所以沒有管爺那種壓力。」年輕人，想法真的不一樣，更重要的是，說話直白。_, 他說，台灣大董事長蔡明忠打電話邀請他出任獨董，他對台灣大很有感情，手上的0939門號已經用了18年，從來沒跳槽過，尤其台灣大在他居住美國期間，主動提供預約調整資費服務，貼心的服務讓他很感動。中華電去年掀起「499吃到飽之亂」，林之晨認為，電信公司已面臨非轉型不可的關鍵期，數位匯流是發展重點，這是他的專長。「只要做對一件事，就能讓台灣大哥大7、800萬客戶有更好的服務，我很樂意。」在股票市場，電信股和科技股最大差別在於報酬率高低不同。電信股定位為高殖利率股，屬於防禦型股票，本益比不高，科技股屬於高成長股，可享有較高本益比。林之晨說，他已經參加過2次台灣大哥大的策略會議，與會董事一致認為在進行短期戰術調整的同時，不能影響投資人對長期股價的期待，也就是轉型不能影響股價，募集長期資金不能衝擊到短期的營業表現，逐步將台灣大哥大由防禦型股票轉型為高成長科技股。_, 品嘗完冷盤，主廚端上生魚片組合，除了魚肉，較特別的是北海道海螺和伊豆半島比目魚，林之晨邊吃邊發IG，讓「J粉」同步爬文（他的英文名叫Jamie，追蹤他的粉絲，統稱J粉）。林之晨在2008年，看到iPhone與Android問世，他驚覺台灣竟渾然不知世界將有巨大變化發生。那段時間，他三天兩頭跟老婆吵著要回來「拯救台灣」，老婆罵他瘋了，他等不及先斬後奏，在基隆路租下辦公室，再向老婆坦白從寬；回台後立即找老媽，開口要借1000萬元。在國內整形醫美界鼎鼎大名的林靜芸醫師，是林之晨的母親，專精於讓人們更美的林靜芸，對於林之晨投入扶植新創事業，搞什麼創業加速器之類的，完全不明白是怎麼回事，質問兒子「你到底是要做什麼？」林之晨一本正經地跟老媽說，我們國家病了，他要效法國父精神，拯救國家，1000萬元是醫治國家的「醫藥費」。林之晨很正經地說，林靜芸聽得目瞪口呆，但錢最後還是給了兒子。問他，1000萬元還媽媽沒？他笑著說，還沒。林靜芸的治國醫藥費，有去無回。林之晨毫不避諱地說，雖然父母都是醫生，但想法天差地遠。林之晨的父親是台大醫院前院長林芳郁，2008年入閣擔任衛生署長。林芳郁在台大醫院期間杜絕紅包文化，畢生都在公務體系服務，對國家社會有著強烈的認同和責任感。林之晨說，他創立創業加速器「拯救台灣」的基因應該來自老爸，只不過老媽覺得這對父子很傻，整天談什麼國家社會，自己把自己管好就好。他還透露，1995年閏8月時，他媽媽本來計劃離開台灣，但父親堅決要留下來。問林之晨，這段「祕辛」可以寫嗎？他二話不說_, 拿著媽媽給的1000萬元，林之晨成立之初創投，開始「拯救台灣大作戰」。在未成立之初前，文筆本來不怎麼樣的林之晨，每天5時起床，利用3個鐘頭的時間，大量閱讀全球科技新聞，再透過部落格將心得傳達給華人世界，經年累月下來聚集了15萬名追蹤粉絲，一個月的觸擊率超過1000萬次。現在雖然寫得沒有之前勤快，但依然5、6時起床，從寫稿變成改稿，他要求20幾名員工，每天都要寫部落格，他則有如總編輯天天改稿。林之晨說，新創事業著重原創，身處此行業，必須有思辨能力，寫稿是培養思辨能力的好方法。不過他強調，他希望「J粉」永遠不要相信他文章所言，一旦全然相信，就會缺乏思考能力。「尤其千萬不要奉我為創投金童，都41歲了，還叫什麼金童。」_, 之初過去10年來，已協助過328家活躍新創事業，這些新創事業的年營業總額超過750億元，募資總額240億元，總估值約1080億元，至少創造9500個工作機會。每半年嚴選出30至40支最具潛力的AI和區塊鏈（Blockchain）新創團隊，輔導團隊找尋產品市場基地，並建立可行商業模式。林之晨說，之初剛創立時，前面3、4年，大家搞不清楚狀況進度落後，但最近這4、5年，新創風興起，五十步當百步跑，之初也成為「讓台灣新創風潮向上提升的手扶梯」。雖然已經為台灣新創產業創造超過9500個工作機會，但論規模都是中小型企業居多，網路事業仍停留在「一盤小生意」。林之晨解釋，新創事業的失敗率高達90％，成功的10％中又只有1％可以發展為大型規模企業；根據統計，之初輔導成功的新創事業，雖然股票上市者不多，但被併購者不在少數，為大型企業提供源源不斷的擴展市場養分。邊吃邊談中，主廚陸續上了多盤握壽司，有花枝、鮪魚中腹、北海道海膽等等，每道菜林之晨都讚不絕口。他特別鍾愛鮪魚中腹，放入口中後品嘗油花散開的好滋味，直誇「吃過這裡的日本料理，其他地方的日本料理，就不叫日本料理了」。近年來，報名之初創投的外國新創團隊比率逐年提升，最近一梯次來自東南亞的團隊高達7成，由此現象，林之晨看到台灣和東南亞的連結愈來愈緊密，這是台灣成為東南亞研發中心的大好機會。他說，台灣過去10年靠著蘋果光吃老本，如今蘋果光逐漸黯淡，我們要思考接下來如何從「硬體的代工」轉型為「軟體的新創」，在未百分之百完成轉型前，也許未來5至10年會是台灣科技經濟的空窗期，但這沒什麼不好，反而可以讓大家靜下心來，看看是要西進，還是南向來拓展對外的科技發展。_, 林之晨認為，前進中國的大好機會已經過去，現在中國那麼大、那麼強，台灣夾在中美之間，充其量只是兩強的棋子；反觀大東南亞國家的人口紅利年輕，市場規模廣大，經由之初輔導後，有三分之一的東南亞創業家決定留在台灣落地生根，至於沒有留下來的原因，一是台灣市場和他們的預期有落差，再來則是回國固守當地本土市場，等本土市場穩定後，有機會再前進台灣，台灣絕對是東南亞市場的要塞。「所以，你認為蔡政府的新南向政策是正確的？」林之晨說，除了名稱，其他都對。他強調，李登輝時代有個南向政策，蔡政府又來個新南向，全是夜郎自大的想法，東南亞國家已經有一定的產業基礎，他們來台灣拓展市場，我們卻用高高在上的想法要「南向」，自我膨脹到極點，一點都不謙卑，更何況蔡英文還喊了3個謙卑。在各式握壽司後，林之晨看到主廚手上拿著「兩小杯」熱湯，識途老馬地介紹說，這是小二的絕活好菜「番茄味噌湯」。小二說，他先將番茄和味噌以小火慢煮後，再泡上一個晚上冷卻，如此費工的目的是要讓番茄的味道完全和味噌融合，這湯在其他餐廳，是喝不到的。喝完湯，好奇地問林之晨，當初你老婆怎麼會依你的意思，從紐約搬回來台灣？他說，老婆和他是國中同學，是她先到美國，他去美國後，兩人在異鄉重逢，「這有點偶像劇的情節」。林之晨很認真地說，在台北時，他老婆的選擇多，根本沒看上他，在美國選擇少，自然就挑上他了，嫁雞隨雞，也只能跟著他，就這樣回到台灣創業。出生醫生世家的林之晨，大學考上台大化工系，父母雖然不期望他也能穿上白袍懸壺濟世，不過家世的壓力，曾讓林之晨一度想重考，「只可惜當的不夠多，所以還是念完化工系」。念什麼科系，其實沒差，林之晨效法國父精神救國救民，孫中山醫生報國，他是科技報國，滾動台灣新創產業，這小子衝勁十足。_, ●年齡：41歲●現職：之初創投創辦人暨合夥人●學歷：．台大化工系．紐約大學史騰商學院企管碩士●經歷：．創辦電腦零售網站哈酷網．碩網資訊．知名旅遊社群網站Sosauce．3D遊戲網站Muse Games_, 《蘋果》專欄「誰來晚餐」，在各式食堂約訪企業家，分享經營之道與人生故事。本專欄每周一見報。_, 搶當《好蘋友》壹會員快註冊免收費！不註冊會後悔！快點我註冊→https://tw.adai.ly/Ml924UpCSU"
首鬆口 高嘉瑜願選立委,2019/01/13,16:00:00,http://tw.news.appledaily.com/headline/daily/20190114/38231868/,headline,"【林媛玲、黃韋銓、呂晏慈╱台北報導】高人氣民進黨北市議員高嘉瑜昨在服務處發春聯，現場人山人海，許多支持者拱她更上一層樓選立委，高嘉瑜受訪時首度鬆口表示：「如果黨覺得自己適合在這一區衝刺搶下一席人選，當然義不容辭」，但她也強調：「如果黨有更好人選，當然尊重。」高嘉瑜把自己做「眼球運動」的萌樣印上春聯，讓許多支持者想索取。高昨上午10時在服務處發春聯，結果早上7時就有民眾排隊，高大感吃驚笑稱自己好像明星，甚至還有從台南北上的支持者讓她很感動。日前有粉絲拿她的肖像做成機車擋泥板，照片在網路瘋傳，該名林姓車主昨也從板橋騎車來支持，車主笑說自己以前的擋泥板是周慧敏與酒井法子，因喜歡高嘉瑜才會特別製作，高聽了笑說，希望擋泥板髒了回家可擦一擦、幫她洗臉。, 高2016年時就有意爭取參選立委，但當年民進黨禮讓親民黨黃珊珊，讓高一度衝入黨部抗議。高昨提前鬆口願接受徵召參選引發關注，因高與台北市長柯文哲友好，媒體問是否會擔心因此影響黨中央徵召意願？高回說，跟誰比較好不是重點，重點是人民支持誰。高嘉瑜粉絲與柯粉重疊，媒體問高嘉瑜是否有可能「柯高配」選副總統？高笑說「你也太好笑了吧」，應該不太可能，大家都希望台灣更好，不一定要組合成一起。民進黨台北市黨部主委黃承國表示，現在整體戰略還不清楚，會採徵召或初選亦未決定，須等3月全代會後討論立委提名，才會有更具體的辦法，現在討論還太早。該選區國民黨現任立委李彥秀說，每個區域立委都有競爭對象，不管別人做哪些準備，更重要的是做好自己的角色跟本分。_, 搶當《好蘋友》壹會員快註冊免收費！不註冊會後悔！快點我註冊→https://tw.adai.ly/Ml924UpCSU"
天冷泡湯「眼中風」男照鏡看嘸臉,2019/01/13,16:00:00,http://tw.news.appledaily.com/headline/daily/20190114/38231873/,headline,"【江慧珺、沈能元╱台北報導】一名 55歲男子因天冷去泡湯，他將全身泡到發熱後，緊接沖冷水降溫，之後又進烤箱，隔天起床照鏡子時，卻驚覺看不到自己的臉，鏡中自己的嘴巴鼻子一帶看過去竟一片黑，低頭吐泡沫時往下看，也看不見牙刷牙膏，就醫檢查原來是「眼中風」。收治病例的中國醫藥大學新竹附設醫院眼科主任陳瑩山指，天冷時眼疾患者常會急速增加，其中多半是血管相關疾病，例如該男子，便是因天冷泡湯、冷熱溫差太大，導致眼底血管破裂致內出血，視力也急速從1.0衰退到0.2險失明，所幸及時接受抗凝血藥物止血及視網膜雷射治療，視力已恢復到0.7。陳瑩山也提到，眼白上布滿微小血管，在秋、冬季長時間戴隱形眼鏡，或吃麻油雞、薑母鴨等鍋物進補，甚至唱歌、飆高音，也可能使眼白血管過度充血，引發爆血管危機。他舉例，一名23歲男大生日前考試結束後，與朋友吃火鍋、飲酒，後續攤夜唱飆高音整晚，隔天起床便驚覺結膜下出血，眼睛紅到像白兔，點眼藥水搭配熱敷1周才好轉。陳瑩山另收治一名60多歲女子日前吃麻油雞，吃完返家後，當天右眼視力有如窗簾慢慢拉上般漸漸變暗，她不以為意，但直到隔天視力都沒恢復，才急忙就醫，檢查右眼血管竟被血脂堵住，引發眼中風，合併黃斑部水腫，導致視力衰退。書田診所副院長廖士傑也說，高血壓或糖尿病患者若發生結膜下出血，眼中風的風險會增高，要特別小心。提醒溫差大時務必注意頭頸部保暖，平時要多喝水，多吃蔬果以補充維他命A與魚油，注意眼周清潔。台北醫學大學附設醫院心臟內科主任黃群耀提醒，泡露天溫泉應注意室內外溫差變化，忽冷、忽熱的環境易使血壓突然變化，恐增身體不適的風險；一般泡湯建議進入溫泉池前可以先泡泡腳，讓身體適應溫泉溫度後，再將身體泡入水中，起身時也應慢慢起身。, ●成因：眼睛中央網膜靜脈、動脈血管破裂或堵塞_●症狀：視力變模糊、視野缺損，嚴重者甚至失明_●好發：高血壓、糖尿病等心血管疾病患者_●預防注意：_．睡眠充足，避免熬夜_．少吃油膩食品，避免血管硬化_．檢查眼前是否出現飛蚊狀小黑點_．視力模糊應立即就醫_資料來源：《蘋果》資料室_, 搶當《好蘋友》壹會員快註冊免收費！不註冊會後悔！快點我註冊→https://tw.adai.ly/Ml924UpCSU"
