,content,floor,id
25,"我是B15。取法乎上，僅得乎中，取中，僅得下，而取下，無所得也。既然您們看不起其他學校，那為何不把自己的目標再定高點？沒有，反而是假設要讀大葉拿獎學金？再者，一個人的成功難道更多不是靠自己嗎？你們是靠學校？有人可以給我舉例子是否合併對你以後的成就有直接關係嗎？？說真的，我們的努力程度比學校牌子更重要，這麼高的r square你不去追求，吵併校有用？

就如我之前說的，併校的事我不懂，但我已經能猜到合併成功的話，以後會有一大堆魯蛇會在角落裡抱怨“信不信當初若不是併了三小高大，我今天能獲得更大的成就”",19,32
26,b18就併校而已啊........ 為學校發展利益著想。併不併校跟自己的正義並無太大關連....想伸張正義不如去多做公益和善事。除非你要一直讀到博班(應該是不會哈哈)，不然幾年內你也不在中山了,20,32
27,"B19奇文共賞
賣弄文言文跟統計學專有名詞不就好有說服力???
個人成就的變異數是啥意思你倒說說看啊?
還有r square又怎麼了?你真的知道r square是啥意思嗎?請問你這邊提的r square是在指什麼模型的解釋力?是在追求什麼?

還有 你知道大葉是一個梗嗎?
連這都不知道 又愛賣弄一些有的沒的 我猜你一定是你們班上的邊緣人",21,32
28,"B21 我都不知道他從哪裡得來這些結論的
扯一堆三小未來成就
好可憐的肥宅",22,32
29,"橋頭園區非常 非常 非常很重要
要是最後全部被成大收歸旗下
中山真的只能當地頭蛇了
靠高大在這裡快速插旗
從這個角度來說
我是完全不反對併校",24,32
30,"抱歉 理解力很差 最後一段
站在招生立場，重疊時期原高大生也有可能不加註原校名。
>> 請教原po B0 併校之後第一屆統一由中山大學招生了 那新生四年後畢業證書當然可以不用加註；可是目前高大這四屆畢業之後證書標註原校名（與清大模式一樣 蔡副校長很愛舉清竹例子）不是理所當然是要寫上原校科系嗎？尤其是一堆重覆的科系.. 為什麼這樣會影響招生？是要跟我說學生合併完一年的科系還沒整合，學生考完落點在高大科系卻是被因為畢業會被加註而不選中山？這樣很奇怪吧 代表間接承認學生不屑高大的加註證書 那也是合併後高大帶來最大麻煩之一

唯一影響招生是大家對中山併校風感到疑惑，很多業界的人資也在最後關頭繳交證書才知道標註這件事（所以沒標才真的對原中山不利），更有sense的是會特別針對併校案重點學校整理起來，HR面試那關就能測出是真是假，透過面談技巧與經驗找出線索也是人資招聘主要的職責之一，再來因為我覺得高大學生一個個自信爆棚，那何必怕人知道他是原高大？？
但只怕業界篩選履歷/學生選校除五大首選，中央之後就中興優先了吧！尤其是科技業人資看到中山那些重點科系被略過的可能性也會提高 因為考慮到找來不知是真是假貨 人資根用人主管時間都很寶貴....
>>所以回答問題本身 為什麼會有考慮招生問題 “重疊時期高大生可能不會加註原校名”之說？

愚民不懂啊 Orz

_另外照這位原竹教的說法 校方說併校加註原校科系名是教育部規定？！更何況前提是清大併教育大學跟創藝術學院 這個人資超好分辨的..... 因為她們說重覆科系竹教會被滅掉 但反觀中山跟高大的一堆重覆科系呢？理性討論 因為只是想知道這對同科系而已的中山學生/甚至今年考上的新生來說是做何感想
https://www.dcard.tw/f/trending/p/225117684",25,32
31,其實有沒有併校，本來有能力去GG或大公司的，還是有機會進去；本來沒能力的，併不併校都進不去，不要牽拖學校了。台清交一直在大舉擴張，就中山喜歡畫地自限?,26,32
32,"B26本來就有能力的 還是有機會進去根本就是標準幹話
事實就是大公司還是很看學歷
不然照你這樣說大家高中的時候都不要追求台大啊 找間離家近的讀就好
反正有能力就有機會達成目標嘛 那追求台大幹嘛?你現在去跟高中生說看看啊 看你會不會被當白痴
阿學校做的事讓我們的學歷可能會貶值 你叫我不要牽拖學校???邏輯???

我高中數學老師有一次段考出超難也是說什麼會考100的還是會100啊
操 阿問題是原本會考70的可能就只剩50啊",27,32
33,"B25

重疊時期的學生
副校長是認為如果他們也在這個（併校後的）環境2-3年了，跟我們領一樣的畢業證書（不加註）似無不可

這部分我有提出質疑。因為就如同各位所感受到的，併校後如果校名是「國立中山大學」，「國立高雄大學」的畢業證書將無法再核發。在這樣的條件下，如果還不加註原校系對本校學生不公平。不過這個問題感覺他們似乎沒有很在意就是了 ...

至於影響招生的部分
如果過度時期招進來的學生要加註
副校長認為可能會影響學生填我們學校的意願（我認真覺得副校長想太多... 清竹併強制加註也沒這問題


你不是愚民la
就連我在現場有時候也搞不清楚
他們都一直在講願景
大餅人人都會畫，最後能得到多少還不知道呢",28,32
34,"那學校要不要一起把高師也併一併
反正我們要的只是土地
併完直接叫中山高雄完全大學
簡稱中山高完大",29,32
35,"B29 高師沒有很多「可用」土地吧

據副校長透漏，理工學院那邊已經在盤算搬到新校區後要蓋幾棟新大樓了lol",30,32
36,"笑死這些教授是不是只會畫大餅還有想怎樣把自己的研究室變大啊
而且怎麼講都只有併校的好處
併個校就能進200大？
笑死人了",31,32
37,高師四維校區根本沒地；燕巢校區遠的可怕.........笑,32,32
38,"B28 謝謝你的回覆
看來只能在下一個公聽會再特別詢問了把
（如同竹教大不見 那四屆是一定要加註原校的 她是說教育部有規定）

再來是...重疊2～3年的 代表現在大四照領高大（高大版一堆人想延畢）所以是把今年考上中山的新生、志願排在前面的人來說“情何以堪”....
因為不一樣的成績 卻是上了同大學 拿同畢業證書 這點只有我覺得很慘嗎

另外請問大大 您們提出質疑（👍🏻）的時候，副校的回答 ，學生反應如何勒？而且如果想照清併竹的案例（尤其他們很多的系還算很好分辨）竹教大畢業證書確實也被註記呀 不然原本清大已經夠傻眼了還這樣.....

合併之後的全新招生的，我覺得這個過度時期沒加註也就算了（如果併高大 高大科系成績沒飆高也就好笑了，至少清大維持水準 不過我們也只是個小咖就是QQ）

所以重頭到尾都是針對併校之後這四屆的畢業證書是一定要加註的...這個好像沒有衝突吧副校？
感覺犧牲了學生的權益.....
重疊的學生在這環境2～3年可以不加註的邏輯很奇怪...純粹就是重覆這四屆尤其科系重疊一大把，加註他們的熱愛強調高大比中山好的來說，不是很好嗎？（至少前1～2年我們根本各自學校上課為主吧 當然啦除非她們硬要選中山教授開的課 QQ課又要搶破頭了）

然後他們好像很沒在意這點，不就把公聽會當作是願景直銷佈道嗎？沒有要鄭重保護學生以及顧及學生的權益.. 😢
B25",33,32
39,"這學期從高大轉來的學生
應該很頭痛吧
早知道不要準備ㄌ",34,32
40,B34 還有這囧填中山的新生 vs 高大的新生,35,32
41,"B33

其實去的學生不多
文學院公聽會，出席的學生大學部+研究所才5位
聲音不夠大

接下來的公聽會大家真的要多多參與
大家一起重複強調一樣的疑慮，我想高層應該不至於敢全部無視。畢竟我們的意見也是會被納入5/24校務會議參考。",36,32
42,但我很喜歡中山呀QQ 不希望它不見,1,33
43,"併校之後多了雜系、程度不同卻要一起上課😱
不……我才來一年而已，不要這樣對我……",2,33
44,覺得莫名的有道理？,3,33
45,"這樣我們是珍貴稀有物種欸(≧ω≦)
不過就沒有下一代惹～QQ",4,33
46,媽的 學店要來跟我們併！！,5,33
47,B4 我們要變末代中山？,6,33
48,https://i.imgur.com/StF0Spb.jpg,8,33
49,其實 我有點看不懂這一連串的說法....,9,33
50,作為已畢業的校友 怎麼覺得蠻有道理的.......,10,33
51,"B9 簡單來說 合併後中山一定會變爛

如果改名 爛的就不是你

如果沒改名 別人會以為你爛",11,33
52,到底在講甚麼............,1,34
53,白痴仔,2,34
54,"我以為只有我覺得室友在睡覺時間吵鬧很機八
太好了原來我不孤單
(｀・∀・´)",3,34
55,"台大還不是一堆社會案件
那請問有人因此而不想念台大嗎?",4,34
56,白痴，緣木求魚,5,34
57,笑死 被幹翻,6,34
58,"你這篇真的不行
沒有討論的價值ㄎㄎ",7,34
59,B4 因為他們沒弄到臭，我們只要每個學生都會隨地拉屎就能了,8,34
60,但是這樣我們也沒優質的學弟妹看了,9,34
61,b8你先學會怎麼正確拉屎,10,34
62,教你一個方法，去當校長或教育部長,11,34
63,這些是你在做的事吧，怎麼這麼可憐,13,34
64,"真正實際的是
學校要土地 要各種擴張規模
你就去遊說郭董 張忠謀他們投資學校
這樣就不用浪費力氣併校了

（白日做夢系列）",14,34
65,推分享,1,35
66,好長，求懶人包,2,35
67,"B2 大自然有鬼
你沒女友",3,35
68,"B2 大自然有猴精,表藝地下室沒學姊了,想找女朋友可以去鹽埕找很有名的月老爺爺和城隍爺幫忙",4,35
69,"https://i.imgur.com/sX2W5pj.jpg
然後現在建言專區打完送不出 呵呵
看起來高大真的還比較透明呢",1,36
70,這條新聞不正印證了兩校的確在談實質性合校嗎？但校名要改回中山大似乎不是易事,2,36
71,辦公聽會您說逢場作戲，不辦的話您說不夠透明暗箱操作，您行您上？,3,36
72,B3 喔,4,36
73,B2 是在談沒錯 不過一直都是以為校名維持不變🤔,5,36
74,B4 真是典型的酸民,6,36
75,科系重複性那麼高，併個屁？1+1小於2吧,7,36
76,"不錯啊,有分歧才有分手",8,36
77,B3 那那個併校規劃小組才兩個學生代表怎解 副校長那群投一投就過半了,9,36
78,B6 那個公聽會建言不給學生不覺得是黑箱ㄇ,10,36
79,https://i.imgur.com/q8bdHWI.jpg,11,36
80,沒差 這次是他們教授在校內先提 他們沒那種奇怪的堅持 一定要高大或者高雄放前面,12,36
81,"B6 噗 在你酸我你行你去怎樣的
我回個一句喔
就是不想吵 還被嘴酸民 到底誰比較酸
我覺得沒氣度的是你吧 ：）",13,36
82,傻眼 拉攏比自己爛的學校我也是看不懂,14,36
83,高大普遍支持名字就用中山大學啊,15,36
84,敢併校我一定發併校提醒信給台灣前100公司的人資部門😇😇,16,36
85,B7 1+1=1+(1-1),17,36
86,幹 妳當我普物還不夠 還想把我變成高大生,18,36
87,"B16 哈哈哈哈 你內容要寫什麼
我幫忙發",19,36
88,"我是B16
感謝原po想幫忙xD
不過一個連就業博覽會都辦不成的學校我是不相信學生素質多好啦
至少高科還辦的起就業博覽會",20,36
89,"併校大部分議題說實在我也覺得沒什麼差
我覺得那都和教授和行政人員比較有關

唯獨遷校實在是有點不捨
每天都可以看夕陽發呆的日子
以後學弟妹可能享受不到了

http://i.imgur.com/2FVa4M5.jpg",1,37
90,B1 有可能是什麼系所要遷去😭,2,37
91,"遷校就是爽到某些政客r
ㄎㄎ",3,37
92,"第一次來到西子灣的時候是高中畢旅
從那時候就愛上這裡
上了大學發現西子灣中山大學的合稱是如此自然而然
這個傳統維持這麼久～
這一年來感受著中山的環境，真的覺得好療癒好喜歡

感性一下好惹～不要遷校啦😢都還沒跟喜歡的人一起看夕陽……",4,37
93,"前提是私立的高醫不跟你併，中山就沒有選擇權。南台灣的醫科也只成大和高醫，所以沒了。如果跟成大併，結果就是成大吃中山，中山滅校。遊戲規則就是大吃小。
明明是談併校，為何有人一直放聲是遷校?
即使一直死守在西子灣，遲早系館也會老舊損壞，加上像是文院那邊地質脆弱，而西子灣完全沒土地了，到時候問題就會出現。而等那時候你們也不會在中山了。",5,37
94,"B5 遷校是陳菊時代提的
但後來也不了了之",6,37
95,高大西文系、運休系、運競系、東亞系、建築系、工設系、金管系、應經系、工管系、化工系、土木系、法律系、財法系、政法系.......這些系其實中山都沒有啊!,7,37
96,B7 西文就是外文,8,37
97,併校不是遷校 本來就是為了擴展土地 誰會還縮減土地 到底是誰一直在亂放風啊,9,37
98,"雖然坦白講中山不是我的第一志願
但這裡的環境真的很棒

不過應該不太可能遷校吧？",10,37
99,"B7 金管、應金？欠電嗎
中山財管屌打他們一百條街好ㄇ",11,37
100,"不想跟學店併校
MD=_=|||",12,37
101,"電電~電電電~地名學店
雜系多嘛",13,37
102,其實高大離橋頭很近，如果未來橋頭科學園區開發成功，對於理工科反而有產學合作地利優勢，不要後悔就好。那塊地真的很值錢，沒了未來只能去屏東找地了呵呵,14,37
103,"https://www.google.com.tw/amp/s/udn.com/news/amp/story/6928/3752691

蔡秀芬指出，中山大最近成立評估小組積極展開併校評估規劃等事宜，小組今天起在校內展開15場公聽會，廣納師生及教職員意見。今天連開兩場，師生對併校反應熱烈，也多所期許，校方5月24日校務會議將彙整這15場公聽會意見，討論併校事宜。",1,38
104,"B1謝謝❤
but師生對於併校反應熱烈，並多所期許!?!!(嚇                                      媒體怎麼知道期許這回事!?!!🤔🧐",2,38
105,"B2 官僚啊官僚...
當天真的都是熱絡期待嗎 還是只是辦完公聽會 假結果 只為了堵住有參考學生意見
B1",3,38
106,"我也是ㄏㄏ
就算要修法律課程寧願跑去中正或成大
話說中山本來就不是文組導向，法學院是?",1,39
107,北大好厲害哦！！！,2,39
108,"我只要想到都是高大尚的人跟教授
我就到畢業都不會踏入高大校區法學院

疑 高大在哪？ 在？",3,39
109,"看看第二篇
高大跟文化法的律師應屆都是兩個欸 呵呵
高大錄取人數=文化錄取人數
2=2",4,39
110,高大法律系或許不強，但併校後就沒有高大法律系了,5,39
111,未來中山有法律系分數大概就中山文組科系裡面排前三,6,39
112,B6 呃...管院應該還是比較高...也不是跟中山合併高大法就會突然國考通過率飆高吧⋯⋯,7,39
113,陣痛期四年，就算是新成立的法律系，在同校裡文組分數排名也會是前幾高,8,39
114,B8 陣痛期四年是怎樣得知的 高科併校還不問題一堆到現在都還沒解決 然後學校規劃小組才兩名學生代表到底是？ 著我們的學校誒,9,39
115,我就是不想跟高大的學渣拿一樣的文憑 幹,10,39
116,我去看他們的系所 其實稍微換個名稱以後就可以合併招生了耶 所以重覆科系還是很多哦,11,39
117,B1 ㄜ我有報名下禮拜的場次 這禮拜時間排不出來想先瞭解一下狀況口氣有必要這麼差嗎🙄️,2,40
118,"B2 沒事啦
我記得學校公聽會總共辦了15場
妳還可以多聽幾場",3,40
119,"校方的新聞稿是說反應很熱烈0.0

不知道是熱烈支持還是熱烈反對。",4,40
120,"新聞稿是說師生反應熱烈並期待哦
若是反對應該不會用這詞彙～而且全文有說會盡快促成，目標200大，不論什麼方式併校都ok",5,40
121,怕,1,41
122,他媽的學校黑箱作業==,2,41
123,抗議到底啦,3,41
124,"垃圾王八高大店生
學渣",4,41
125,學生會發起鄭英耀下台！,5,41
126,"評估小組什麼教職員代表
評估當然是要給學生評估
大學是教書和研究的地方
不是學生付錢取得知識的學店",6,41
127,"不～～～～～😫😫😫
評估小組為什麼都是教職員啦",7,41
128,"恩啊 所以公聽會只是做做樣子 我們有聽學生意見 啊到時候表決的不都是高層跟校職員............
還把公聽會放在期中考 是有多“急” 😣",8,41
129,"B5 學生會可以嗎～感覺好像惦惦的...
FB社團也沒什麼回響 難道只能這樣了嘛
完全不民主跟透明的教職體系 

一開始對高大沒什麼想法 只是他們校板/考試版連續轟炸的嘔文 “校身攻擊”“人生攻擊（不就是中山而已跩個二百五 拜託那就不要期待併校啊他們）” >>以後要和這些混進來的這種品格當同學 
感到堪憂 還有出去外面我想我們也跟著遭殃吧 你是原本中山的嗎？甚至如果被拖垮 校長以及也頗為高調的蔡副校長政策失敗 業界HR篩履歷我看中山也被踢出了 這種被“放大”檢視的行為 對原本中山人的觀感也一起變調了
說真的HR沒時間初階再跟你分你是原高大還是..
頂多面談才會問 沒問的話又依照現在這種格調的模式推敲 可以想像充斥四屆混入業界的人 有多少是前面用中山騙過去 對我們有多傷",9,41
130,鄭英耀下台！,10,41
131,"我們上的是「國立中山大學」，不是地名學店
那他們就祈禱可以混一輩子吧",11,41
132,"B11 就算要併除了畢業證書必須大大標記之外（因為都說比照清大辦理了嘛）
就不要開放這四屆轉系 而且同科系怎處理 最後還是照併了 至少這四屆要維持吧 不然對撞系的同學公平在哪 無法想像他們的公車路線到底能促成多少人去那修課 （我看到時候只能強迫了吧 有些課只能去高大上課/ 或是當高大把我們的系上教授選課搶光光............）

B5 B10 鄭英耀到底想在在位的時候做個什麼豐功偉業 好名留青屎 嗎？",12,41
133,ㄏㄏ 鄭英耀真讓人失望,13,41
134,"能不能 	鄭英耀校長 2016年8月－至今
-> 2016年8月-2019/5
教育心理博士還這麼一意孤行 罔顧學生的心聲",14,41
135,哪天號召一下佔領校長室好了,15,41
136,這個只是同意成立評估小組吧,16,41
137,填起來~~~~~,17,41
138,"是啊 但以後可不只是成立評估小組了

建言的部分剛看才47個人填 :-(",18,41
139,建言類別跟身分別的差別是？,19,41
140,"B19 建言類別應該是校務發展 或學生 or 其它
重要的是內容 🥺",20,41
141,一大堆鼠目寸光之輩在攻擊鄭校長，似乎都無法意識到中山大現在處於一個如何的歷史進程。,21,41
142,B21 歷史進程？？？,22,41
143,"不要求高大仔多好
只求高大仔修過高崇堯的控制系統",23,41
144,我們校長是不是被高醫董事會的人威脅了啊,24,41
145,"我覺得校長很想成功  先併再說 反正等他任期到了升官走人  跟高大併校根本就是他的人決定好的事 我們如果不激烈點  好像根本改不了什麼==
跟高大併到底怎麼讓我們進步 靠他們的法學院就能讓我們升兩百名?",25,41
146,"B25 
B24 所以弱弱的問當天的公聽會真的是師生反應熱烈跟期望嗎？ 還是只是藉著假公聽納言學生意見 真行併校之實（因為師生同意）這...",26,41
147,完全不會幫助進步的計策,27,41
148,"B6 是教職員工""生""

就是包含學生了",28,41
149,"B28 搞不好是教職員，工生（工讀生）？

對不起我來亂的",29,41
150,請問這個是什麼意思，我無法把我的意見送出。https://i.imgur.com/C2LxBhy.jpg,30,41
151,ㄏㄏ 規劃小組才兩名學生是？？？,33,41
152,被罵是一時 無痛升級是一輩子ㄏ,1,42
153,人至賤則無敵,2,42
154,校名換中山 標註原系所 所以沒什麼好生氣的,3,42
155,高大法律有真的很屌嗎？我看也沒多高分,4,42
156,"講得好像他們法學院多厲害

台政北東
還有成大輔大

哪時候輪得到高大了ㄎ",5,42
157,"高大法我想中山能上的人很多吧...
大家都去念 那些留言的人可能也不在了...",6,42
158,到時候真的併了，一堆社科院的直接轉系或雙修電爆他們,7,42
159,B7 太好了我終於能擺脫名次墊底了,8,42
160,"法學院？
啊怎麼不說他們開不起海學院
笑死
這個邏輯",9,42
161,"學測高五級而已?
不然看一下指考平均高幾分啊哈哈～
算分數的才準好嗎",10,42
162,"怎麼不看兩間大學世界排名差多少啊？
高大榜上查無此校的欸
中山虧爆了",11,42
163,"可悲法律系藍頭超大聲
學店就學店乖乖閉嘴
就是比你們行 就是比你們高啊
頂著學店的名號還敢這麼囂張ㄏㄏ
大概不知道恥怎麼寫吧",12,42
164,中山成績是沒有很高啦，但是高大那成績又是什麼狗屎？,13,42
165,"https://i.imgur.com/bmHDcPE.jpg
電機系可以笑一下他們嗎",14,42
166,"B14  電機指考平均差了12分哦
他們還在爽自慰差五級分 笑死",15,42
167,高醫屌的很屌，高大屌的...呃沒有這東西，所以當然想跟高醫併,16,42
168,"高大法律那個嘴秋幾點的阿
什麼咖小R
臺政北東法律系再來講話辣 操",17,42
169,"法學院開不開得起來跟學校行不行關聯到底在哪裡？
這個問題牽扯到很多層面
包括名額管制還有教育部准不准
教育部准不准又牽扯到更多你意想不到的原因

我們也不是所謂的文組學校
四中裡面就只有中興中正有法律系
還是四中裡面的後面兩間
清大交大哪一間有法學院？
高大比清交屌？
如果照108篩選最低總級分60
他們最引以為傲的法律系如果才60那其實滿可悲的
原本覺得不要拿分數在那邊羞辱人
看到他們這樣反而覺得根本不能跟他們 peace
自己關起門來在裡面自慰
連想回個文都沒辦法ㄏㄏ",18,42
170,B18 不推不行,19,42
171,大推 B18,20,42
172,"B18 
真的可播 
想拿系名嗆他們都不行",21,42
173,"高大高大高大



在哪？",22,42
174,"https://i.imgur.com/IuWQusn.png
我們學校有社工系喔？
B24我在反諷啦XD
功課都不做就在嘴我們有社工系 笑死XDD",23,42
175,B23 沒有吧？,24,42
176,B22 垃圾桶,25,42
177,還不是靠我大物理系ㄏ,1,43
178,還不是靠我大大材光系ㄏ,2,43
179,結果最後寫在上面的卻是我大中文系的字體,3,43
180,還有我大外文系的字體(⁎⁍̴̛ᴗ⁍̴̛⁎),4,43
181,什麼時候材光跟中文也開始研究黑洞了…,5,43
182,"B5 你怎麼不說樓上的外文....
差別待遇欸...",6,43
183,"你們也太可愛哈哈哈
話說我覺得中山還有個優點就是特別有人情味",7,43
184,我愛中山,8,43
185,B6 外文正妹多(⁎⁍̴̛ᴗ⁍̴̛⁎),9,43
186,黑洞材料是我們研究的,10,43
187,B9 中文也不少啊⋯⋯,11,43
188,靠北笑爛,12,43
189,b9是正妹嗎?,13,43
190,樓下開放文院正妹報到,14,43
191,B14 肥宅可以嗎？,15,43
192,不要老在自己的家裡玩 當地頭蛇有什麼意思,16,43
193,合併後獲得的廣大土地以及增加的領域，即使短期內素質稍降，長遠發展來看是值得的。,17,43
194,黑洞裡有中山大學的分校,18,43
195,政育77777,19,43
196,"中山有哦？？
可能放錯吧~",20,43
197,B4 銃三,21,43
198,政育👍👍👍,22,43
199,B20 ㄏㄏ你當然不知道,23,43
200,"這時候大家都以中山為榮了
中山真的很棒噠~
希望大家也不要妄自菲薄
一起為自己的專題或研究內容努力
讓中山的名字和logo可以一直出現R~",24,43
201,"隨便
跟誰併在哪裡都無所謂

我不認為學校一定要在市區才有辦法存活
學校這塊地最初也真的是軍事用地
所以依規定該怎樣就怎樣我沒意見
美國很多名校都在鳥不生蛋的地方
換句話說研究質量比較重要

雖然我私心比較想跟高醫併
但跟高大併我不覺得會拉低我們
學校排名指標聲望佔很重
再來就是論文數量
跟高大併的論文數量總不可能減少吧
人數也有優勢
像台大成大人數幾乎是清大交大的兩倍
人數多論文產量自然就多 加上他們有醫學系權重又更多（題外話
台成的排名有很大一部分是這樣來的
所以真正研究強的學校是哪幾間看得出來吧（還是題外話
再來就是大家口中的智障
那些人經過四年就全部都洗掉了
就像當時竹教沒被併掉的系
後來分數也漲蠻多的

總而言之強併弱對強的多少都有好處
反正這就是目前的生態發展
靜靜的看吧",1,44
202,這樣沒猴子跟我搶早餐很不習慣,2,44
203,"B1 原本中山的資源不就要更高大的共享，論文是不會減少沒錯啦 但他們校師生那麼多 論文產量才約中山六分之一 經費也都是中山贏了好幾倍以上 這樣還要花那個時間 那個金錢去合併 是不是有點不符合成本效益 同時那個論文差異也顯示出兩校教授及學生在研究上並非同等水平 合併磨合期更大ㄌ⋯⋯
另合併縱使能讓排名稍微提升 那兩校校區距離差異甚大 及同學修課選擇是否能變多也是一大問題 並不是說併校就是一個趨勢就得一定要併 合併不合併還是得看學生利益及整體師生的意願吧 要不然一味的併而併其實也只是浪費彼此時間 那高科大那個合併到現在好像還是蠻多人在抱怨合併後他們系上經費補助反而減少一半還有學校系統的問題ㄋ",3,44
204,中山 西子灣 打狗英國領事館已經是一個景觀整體了，提這種言論的人最好是真為高雄觀光好。另外後面還有軍方用地，要不要全開放啊~,4,44
205,因為合併可以解決中山土地不足的問題，又可以增加法律系，各系所規模也可以擴大，利大於弊!!!,5,44
206,中山就沒地，跟高大合併可以不花錢拿一大堆土地+法律系，合併後過4年那些人就洗掉了，其實算賺的好嗎==,6,44
207,"西子灣沒有中山就不叫西子灣了
光是猴子會搶食物這點
就足夠證明外地人進來根本不尊重生態
政府根本沒有資格動西子灣
有種就叫韓國瑜來睡一晚
我一定在海堤放大龍炮放到警察來",7,44
208,B7 卡個，記得直播,8,44
209,合併是中山大學西子灣校區+高大校區，遷校是西子灣全部搬走，有人分不清楚這兩者差異,9,44
210,"先丟爆料丟媒體把它炒大
成功率就會降低了",1,45
211,畫大餅啊,2,45
212,要投稿到媒體嗎？,3,45
213,"併起來後，跟中央要錢要經費啊。

砸錢做研究提升排名
增加學生數量以追求論文產量以及曝光

能不能入200我不知道

不過台大 清大 交大 成大 除了優秀學生外，很多器材也都馬是砸錢砸出來的

不然排名哪裡來",5,45
214,"金費與學校素質是息息相關的，吸引到的學生自然會越來越優秀，排名會上升將會是必然，但能上升到什麼程度，就要看國家對高等教育的重視程度，與未來國家發展方向和社會風氣

併校有好有壞，但就台灣目前的困境，併校將會是一個趨勢",6,45
215,"想併校一定會畫大餅啊

跟高雄無關吧",8,45
216,"對了
排名上不上升還是得看paper產量跟其他研究方面的指標
學生程度在QS這類的排名不是太重要
https://i.imgur.com/9Kprakx.png


現在我們有很多學門在QS rankings by subjects有上榜，很大一部分原因是因為教授（或研究生）研究能力和論文產量都很厲害，高大連QS Asia都沒上榜了，合校後對排名也不要太過度期待",9,45
217,學生真的只能看著中山合併高大嗎？QQ,10,45
218,B10 我們可以做的就是盡可能在公聽會上表達我們的想法（估計那個B0 ppt也會出現在公聽會裡，可以先想要怎麼應對就是了）,11,45
219,B10在公聽會告訴學校我們不要。如果併校是趨勢，那為什麼非高大不可。手牽手是為著更好的將來，但我現在說實話就是看不到這兩間學校的未來,12,45
220,他媽高大這種糞校糞店併了有三小路用,13,45
221,"B12

很大一部分是為了法學院吧我想

如果合併真的無法避免，至少也不能讓本校的學生或教授權益受損

很怕學校會為了加快合併的步調亂搞一些有的沒的",14,45
222,那個自籌經費補助學生上中山經費比高大多了快十倍是怎樣,15,45
